Benchmark         (arg)  (certainty)  Mode  Cnt     Score       Error  Units
_11_Params.bench      1            0  avgt    3     3.577 ±     0.367  ns/op
_11_Params.bench      1            1  avgt    3     5.891 ±     1.186  ns/op
_11_Params.bench      1            2  avgt    3     5.886 ±     0.732  ns/op
_11_Params.bench      1            4  avgt    3     6.075 ±     1.618  ns/op
_11_Params.bench      1            8  avgt    3     6.099 ±     3.049  ns/op
_11_Params.bench      1           16  avgt    3     6.026 ±     2.128  ns/op
_11_Params.bench      1           32  avgt    3     5.913 ±     0.480  ns/op
_11_Params.bench     31            0  avgt    3     5.335 ±     1.244  ns/op
_11_Params.bench     31            1  avgt    3   481.092 ±  1281.788  ns/op
_11_Params.bench     31            2  avgt    3   465.900 ±   649.830  ns/op
_11_Params.bench     31            4  avgt    3   796.895 ±   482.376  ns/op
_11_Params.bench     31            8  avgt    3  1507.462 ±   231.455  ns/op
_11_Params.bench     31           16  avgt    3  2873.972 ±   371.159  ns/op
_11_Params.bench     31           32  avgt    3  6248/781 ±  6629.901  ns/op
_11_Params.bench     65            0  avgt    3     5.679 ±     2.164  ns/op
_11_Params.bench     65            1  avgt    3  1065.004 ±   385.341  ns/op
_11_Params.bench     65            2  avgt    3  1072.607 ±   114.080  ns/op
_11_Params.bench     65            4  avgt    3  1165.554 ±   903.156  ns/op
_11_Params.bench     65            8  avgt    3  1177.298 ±   200.700  ns/op
_11_Params.bench     65           16  avgt    3  1140.495 ±   179.862  ns/op
_11_Params.bench     65           32  avgt    3  1157.580 ±  1073.680  ns/op
_11_Params.bench    101            0  avgt    3     5.541 ±     4.584  ns/op
_11_Params.bench    101            1  avgt    3   542.846 ±   114.256  ns/op
_11_Params.bench    101            2  avgt    3   639.060 ±  1696.530  ns/op
_11_Params.bench    101            4  avgt    3  1066.889 ±   331.441  ns/op
_11_Params.bench    101            8  avgt    3  2025.211 ±  1014.474  ns/op
_11_Params.bench    101           16  avgt    3  6524.325 ± 37912.478  ns/op
_11_Params.bench    101           32  avgt    3  8653.570 ±  5953.391  ns/op
_11_Params.bench    103            0  avgt    3     5.666 ±     4.784  ns/op
_11_Params.bench    103            1  avgt    3   488.199 ±   297.738  ns/op
_11_Params.bench    103            2  avgt    3   469.719 ±    60.518  ns/op
_11_Params.bench    103            4  avgt    3   868.672 ±    69.836  ns/op
_11_Params.bench    103            8  avgt    3  1718.245 ±   109.846  ns/op
_11_Params.bench    103           16  avgt    3  3334.879 ±   366.014  ns/op
_11_Params.bench    103           32  avgt    3  6687.157 ±   977.766  ns/op
